term	file	line
GO:0019284	interpro2go	InterPro:IPR023956 Acireductone dioxygenase ARD, bacteria > GO:L-methionine salvage from S-adenosylmethionine ; GO:0019284
GO:0019509	metacyc2go	MetaCyc:PWY-4361 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	metacyc2go	MetaCyc:PWY-6753 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	metacyc2go	MetaCyc:PWY-6754 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	metacyc2go	MetaCyc:PWY-6756 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01677 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01678 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01679 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01680 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01681 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01682 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01683 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01684 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_01963 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_03116 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_03117 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_03118 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_03119 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
GO:0019509	hamap2go	HAMAP:MF_03154 > GO:L-methionine salvage from methylthioadenosine ; GO:0019509
